-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1998 through 12/31/2009 
Location: Latitude  47.0   Longitude -95.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 438.39 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,PRECTOTCORR,RH2M,WS10M
1998,4,11,6.43,11.46,0.1,57.69,4.35
1998,4,12,2.82,13.07,6.59,81.19,11.29
1998,4,13,1.74,8.33,3.11,87.06,9.63
1998,4,14,4.38,4.8,0.06,73.81,6.62
1998,4,15,6.72,2.31,0.0,65.06,5.74
1998,4,16,5.57,2.06,0.0,66.69,5.49
1998,4,17,5.47,5.96,0.11,60.12,4.97
1998,4,18,5.61,6.67,0.41,69.75,2.47
1998,4,19,5.28,7.0,0.14,72.88,3.65
1998,4,20,7.02,7.82,0.01,67.0,4.13
1998,4,21,7.18,8.91,0.0,58.88,3.59
1998,4,22,7.31,11.69,0.0,44.69,1.86
1998,4,23,6.71,14.56,0.0,47.75,3.98
1998,4,24,6.78,12.12,0.01,56.75,7.54
1998,4,25,6.06,10.01,0.01,64.31,9.26
1998,4,26,7.19,6.82,0.0,50.62,7.66
1998,4,27,7.5,7.66,0.0,53.44,3.84
1998,4,28,6.79,11.31,0.0,47.38,3.12
1998,4,29,7.69,14.03,0.0,45.62,2.71
1998,4,30,7.48,14.88,0.0,48.38,4.05
1998,5,1,3.67,12.46,3.26,78.81,4.27
1998,5,2,7.0,12.74,0.76,67.38,5.71
1998,5,3,7.46,13.56,0.0,58.62,2.67
1998,5,4,5.45,14.19,0.46,58.25,6.9
1998,5,5,7.4,11.93,0.0,49.94,3.82
1998,5,6,5.05,15.89,1.1,51.19,4.3
1998,5,7,5.34,11.94,2.9,72.94,4.12
1998,5,8,4.0,10.33,7.89,75.25,5.13
1998,5,9,6.6,12.62,0.18,56.75,5.34
1998,5,10,7.07,13.8,4.24,66.62,3.61
1998,5,11,2.79,14.84,10.43,86.38,4.67
1998,5,12,1.69,13.6,10.79,83.75,5.85
1998,5,13,4.89,14.15,1.95,66.12,5.47
1998,5,14,3.96,20.7,11.23,73.5,8.07
1998,5,15,3.64,20.4,37.51,90.38,5.03
1998,5,16,4.69,15.0,10.88,70.56,10.19
1998,5,17,7.09,19.08,1.86,69.56,4.46
1998,5,18,7.98,21.69,0.41,72.44,3.77
1998,5,19,6.41,15.75,0.0,61.88,6.02
1998,5,20,7.82,16.08,0.0,61.44,3.08
1998,5,21,8.23,15.44,0.0,55.12,3.8
1998,5,22,6.48,12.62,0.0,56.06,4.73
1998,5,23,6.9,14.35,0.04,59.31,4.7
1998,5,24,5.82,14.06,0.11,67.44,3.77
1998,5,25,7.84,16.74,0.07,69.12,3.82
1998,5,26,7.55,19.33,0.88,60.5,2.23
1998,5,27,7.09,19.33,4.62,68.25,4.44
1998,5,28,7.29,19.07,3.55,68.31,7.27
1998,5,29,7.81,11.24,1.04,60.06,5.04
1998,5,30,4.33,11.98,23.06,88.12,3.88
1998,5,31,7.27,9.57,6.34,61.62,6.95
1998,6,1,7.31,15.33,10.13,68.69,6.9
1998,6,2,4.29,7.37,1.38,66.0,6.58
1998,6,3,6.8,8.19,0.01,55.0,6.3
1998,6,4,5.89,8.77,0.33,64.62,4.13
1998,6,5,3.78,8.45,0.53,66.12,3.46
1998,6,6,4.3,10.21,0.3,65.0,2.78
1998,6,7,7.17,12.41,0.01,58.75,2.52
1998,6,8,6.66,13.26,0.0,60.88,4.27
1998,6,9,6.18,14.28,0.14,66.44,4.34
1998,6,10,4.61,13.62,9.63,84.62,4.77
1998,6,11,4.91,17.31,14.45,90.12,3.55
1998,6,12,3.39,15.79,17.9,90.12,3.07
1998,6,13,8.38,18.77,0.0,71.12,3.01
1998,6,14,6.02,19.13,2.4,77.19,2.78
1998,6,15,3.07,16.58,6.71,89.44,2.41
1998,6,16,4.03,17.02,2.84,93.06,3.14
1998,6,17,3.97,18.16,10.04,87.62,5.31
1998,6,18,2.88,19.58,26.5,94.75,7.23
1998,6,19,2.88,16.48,5.86,89.25,4.81
1998,6,20,6.85,17.8,0.59,73.88,5.7
1998,6,21,3.77,16.55,2.02,80.88,5.99
1998,6,22,3.67,16.32,0.12,78.38,4.49
1998,6,23,5.85,18.4,1.39,78.44,3.34
1998,6,24,5.38,20.9,5.86,87.62,4.66
1998,6,25,5.04,20.12,4.36,85.62,3.84
1998,6,26,6.82,22.15,11.83,81.25,5.95
1998,6,27,5.53,21.12,21.13,80.94,3.44
1998,6,28,5.09,18.25,1.85,75.62,7.31
1998,6,29,5.18,18.29,1.28,77.19,6.0
1998,6,30,7.09,19.7,0.19,78.06,4.8
1998,7,1,7.73,20.68,0.81,74.62,3.44
1998,7,2,6.79,21.8,2.16,72.19,2.94
1998,7,3,5.49,20.23,3.67,80.88,3.45
1998,7,4,7.23,18.69,2.82,73.75,2.91
1998,7,5,1.81,19.02,17.54,88.38,4.85
1998,7,6,3.18,18.31,11.13,89.75,4.33
1998,7,7,5.39,19.65,9.83,85.44,2.78
1998,7,8,7.75,22.0,0.15,76.62,1.03
1998,7,9,7.6,23.11,0.25,72.88,1.75
1998,7,10,7.36,22.73,0.31,76.56,3.16
1998,7,11,7.48,24.04,0.02,77.06,4.38
1998,7,12,6.38,23.59,1.43,76.94,5.91
1998,7,13,8.3,23.43,2.05,66.0,4.62
1998,7,14,2.57,24.37,29.23,84.69,4.79
1998,7,15,7.48,20.22,3.74,72.5,4.86
1998,7,16,7.15,16.4,0.34,66.31,3.76
1998,7,17,7.52,18.51,0.49,74.25,2.07
1998,7,18,3.68,21.65,5.53,79.38,4.66
1998,7,19,7.99,21.57,0.21,69.44,4.66
1998,7,20,5.67,22.47,6.36,74.5,5.08
1998,7,21,6.17,18.51,0.0,70.12,6.22
1998,7,22,6.86,16.73,0.01,66.75,5.42
1998,7,23,6.43,15.7,0.0,68.06,4.82
1998,7,24,6.78,16.98,0.0,62.75,3.35
1998,7,25,7.75,19.22,0.06,57.56,1.47
1998,7,26,4.63,20.79,3.39,74.88,6.75
1998,7,27,7.41,19.18,0.0,61.0,4.57
1998,7,28,7.32,19.9,0.06,56.12,6.62
1998,7,29,5.93,18.52,0.22,58.5,4.16
1998,7,30,6.06,17.51,0.0,64.38,3.41
1998,7,31,6.7,19.47,0.01,61.56,2.84
1998,8,1,5.21,21.27,0.01,61.56,4.9
1998,8,2,3.1,21.59,0.39,65.19,5.15
1998,8,3,3.61,19.66,1.13,74.56,5.2
1998,8,4,6.03,21.73,0.75,72.0,3.63
1998,8,5,6.96,22.19,0.19,62.56,1.71
1998,8,6,7.09,22.58,0.0,51.69,3.05
1998,8,7,5.44,20.25,2.02,76.75,4.2
1998,8,8,5.26,21.95,0.67,76.5,3.05
1998,8,9,6.69,21.83,0.06,60.62,5.16
1998,8,10,6.89,21.48,0.0,50.38,4.05
1998,8,11,6.54,22.48,0.0,53.12,2.28
1998,8,12,5.3,22.33,0.4,61.88,4.52
1998,8,13,6.48,23.19,0.12,60.5,3.62
1998,8,14,6.22,19.9,0.51,57.62,5.41
1998,8,15,5.82,19.19,1.48,52.0,2.54
1998,8,16,6.01,21.58,4.49,74.31,5.6
1998,8,17,6.56,18.85,0.18,60.81,4.45
1998,8,18,1.98,19.76,0.86,58.75,7.06
1998,8,19,2.26,22.81,6.41,80.5,6.28
1998,8,20,6.68,20.91,0.01,58.31,4.66
1998,8,21,6.34,21.62,0.08,56.38,3.14
1998,8,22,2.43,19.96,12.99,85.44,5.07
1998,8,23,5.99,21.91,0.42,70.5,5.73
1998,8,24,4.73,18.71,0.35,74.5,4.38
1998,8,25,6.31,20.16,0.57,57.81,3.44
1998,8,26,6.04,22.76,1.05,57.94,4.73
1998,8,27,2.45,20.88,5.58,78.81,5.78
1998,8,28,6.16,21.0,0.0,60.56,4.39
1998,8,29,6.12,18.84,0.0,50.44,4.67
1998,8,30,6.21,18.72,0.0,46.88,3.13
1998,8,31,5.32,19.94,7.91,59.56,4.3
1998,9,1,5.84,17.12,0.01,51.31,5.66
1998,9,2,3.5,15.29,0.33,49.25,2.2
1998,9,3,5.78,18.49,0.0,50.25,2.87
1998,9,4,5.91,22.49,0.0,51.81,3.88
1998,9,5,5.56,22.43,0.01,56.19,4.9
1998,9,6,5.67,18.16,0.0,47.62,4.74
1998,9,7,5.71,14.66,0.0,52.56,5.02
1998,9,8,5.74,14.62,0.0,54.5,3.88
1998,9,9,5.26,17.74,0.0,50.5,7.38
1998,9,10,4.93,22.83,0.03,48.94,6.47
1998,9,11,4.2,22.27,0.37,62.88,4.52
1998,9,12,2.48,19.9,7.24,77.44,2.58
1998,9,13,2.11,18.87,18.0,88.31,3.41
1998,9,14,4.65,18.82,1.1,75.0,5.17
1998,9,15,5.36,16.1,0.0,49.94,3.32
1998,9,16,5.34,18.83,0.0,48.75,4.73
1998,9,17,5.28,20.87,0.0,47.69,5.55
1998,9,18,4.59,21.65,0.13,61.0,3.4
1998,9,19,3.31,21.2,0.1,60.56,7.09
1998,9,20,2.28,10.43,0.11,66.75,8.34
1998,9,21,4.05,8.92,0.01,54.25,3.69
1998,9,22,4.41,11.22,0.01,47.69,3.5
1998,9,23,1.81,12.8,0.29,60.38,5.64
1998,9,24,4.27,14.85,0.61,64.38,3.95
1998,9,25,4.47,13.62,1.86,66.12,4.11
1998,9,26,2.27,14.01,10.05,83.69,5.04
1998,9,27,3.86,12.66,0.0,65.56,5.09
1998,9,28,3.87,14.92,0.21,59.81,3.51
1998,9,29,4.17,13.5,0.31,61.5,3.61
1998,9,30,2.68,7.7,8.1,68.12,6.63
1998,10,1,4.24,5.59,0.0,59.19,4.65
1998,10,2,3.78,6.48,0.02,56.12,3.91
1998,10,3,3.97,7.25,0.13,72.0,5.47
1998,10,4,1.43,7.73,2.43,78.38,9.09
1998,10,5,0.82,10.44,22.6,89.38,8.86
1998,10,6,1.29,7.93,1.29,89.25,5.66
1998,10,7,3.25,7.67,0.11,68.88,5.59
1998,10,8,4.06,8.67,0.0,60.44,5.77
1998,10,9,4.01,12.23,0.01,67.19,4.34
1998,10,10,1.9,12.81,0.49,79.94,4.03
1998,10,11,1.25,10.79,6.6,84.62,7.98
1998,10,12,1.49,3.84,0.95,72.25,8.87
1998,10,13,2.02,3.0,0.31,78.94,4.23
1998,10,14,2.14,5.39,5.59,83.0,7.41
1998,10,15,1.41,7.88,31.04,95.25,4.98
1998,10,16,0.71,12.12,38.5,98.0,2.68
1998,10,17,1.1,7.31,9.69,92.94,5.91
1998,10,18,1.98,3.18,0.67,83.12,6.88
1998,10,19,1.55,3.51,0.05,76.31,7.95
1998,10,20,2.21,3.38,0.38,76.0,3.38
1998,10,21,3.13,5.16,0.0,68.44,1.73
1998,10,22,3.32,8.92,0.0,74.56,5.22
1998,10,23,3.29,10.51,0.0,71.0,5.2
1998,10,24,3.08,11.23,0.65,86.5,2.72
1998,10,25,0.94,10.95,4.66,91.38,3.91
1998,10,26,1.29,9.36,0.36,92.62,2.48
1998,10,27,2.66,9.53,0.07,81.75,3.35
1998,10,28,3.05,6.55,0.0,65.0,4.19
1998,10,29,0.99,7.23,3.98,90.0,7.5
1998,10,30,0.93,5.12,0.28,87.31,5.58
1998,10,31,2.37,3.53,0.02,70.12,2.7
1998,11,1,2.5,3.71,0.01,82.94,3.22
1998,11,2,2.87,1.29,0.13,79.5,5.16
1998,11,3,2.71,-1.91,0.03,78.38,3.43
1998,11,4,2.3,-2.97,0.0,72.12,2.45
1998,11,5,1.14,-3.03,0.0,76.88,2.52
1998,11,6,1.44,-2.98,0.01,73.94,1.66
1998,11,7,2.04,-2.92,0.03,75.31,1.22
1998,11,8,2.69,-1.98,0.31,80.19,1.76
1998,11,9,1.24,-0.45,4.14,91.12,4.87
1998,11,10,1.17,-1.13,21.95,94.31,12.5
1998,11,11,1.87,-5.66,1.02,87.38,8.08
1998,11,12,1.78,-10.95,0.19,88.06,4.1
1998,11,13,1.88,-3.34,0.92,95.69,4.45
1998,11,14,1.19,-3.12,0.95,94.94,5.86
1998,11,15,1.14,-4.59,3.91,97.25,4.16
1998,11,16,1.76,-5.6,0.72,93.69,2.83
1998,11,17,1.55,-5.11,1.68,97.12,3.07
1998,11,18,0.78,-1.78,14.82,97.44,7.69
1998,11,19,1.65,-7.76,1.39,97.06,7.87
1998,11,20,1.54,-11.94,0.43,97.69,3.81
1998,11,21,1.54,-3.35,1.45,95.56,6.62
1998,11,22,1.79,0.29,0.77,95.38,4.52
1998,11,23,2.09,-1.0,0.06,96.62,6.3
1998,11,24,0.97,-1.07,0.01,95.38,6.77
1998,11,25,1.75,-0.35,0.0,94.25,6.27
1998,11,26,1.99,-0.63,0.0,95.19,3.08
1998,11,27,1.71,0.44,0.01,98.31,3.47
1998,11,28,1.37,0.07,0.02,91.25,4.34
1998,11,29,0.81,1.21,0.15,98.44,4.42
1998,11,30,1.26,-0.47,0.01,91.19,5.72
1998,12,1,1.68,0.85,0.01,92.88,3.84
1998,12,2,1.47,1.42,0.0,95.12,2.68
1998,12,3,1.65,2.15,0.01,90.81,4.54
1998,12,4,1.04,-1.09,1.99,81.88,4.9
1998,12,5,0.98,-1.64,7.17,91.62,4.55
1998,12,6,1.57,-4.95,0.48,87.62,3.3
1998,12,7,1.8,-4.31,0.01,87.12,3.62
1998,12,8,1.77,-4.64,0.0,89.88,3.69
1998,12,9,1.21,-3.63,0.01,88.25,6.67
1998,12,10,1.76,-5.13,0.01,89.38,5.12
1998,12,11,1.64,-2.01,0.0,89.62,5.49
1998,12,12,1.48,-0.6,0.0,89.62,3.67
1998,12,13,1.71,-1.45,0.0,85.38,2.97
1998,12,14,1.61,1.56,0.01,89.5,7.52
1998,12,15,1.69,-1.98,0.01,87.69,5.62
1998,12,16,1.58,-3.92,0.6,80.88,4.11
1998,12,17,0.96,-8.33,3.03,89.81,6.3
1998,12,18,0.6,-6.13,0.61,89.38,7.34
1998,12,19,1.14,-18.49,0.13,79.69,7.19
1998,12,20,0.76,-20.13,1.16,82.75,4.15
1998,12,21,1.4,-20.56,0.04,76.69,6.67
1998,12,22,1.32,-18.88,0.01,77.19,7.52
1998,12,23,1.52,-17.14,0.03,81.0,7.44
1998,12,24,1.69,-15.55,0.0,77.56,6.27
1998,12,25,1.68,-14.73,0.26,86.44,5.26
1998,12,26,1.54,-15.26,2.18,85.06,5.38
1998,12,27,1.49,-11.7,0.5,91.06,4.79
1998,12,28,1.05,-11.09,1.31,93.81,6.62
1998,12,29,0.96,-22.18,0.0,82.19,7.63
1998,12,30,1.26,-19.51,0.51,79.5,2.9
1998,12,31,1.31,-22.2,0.25,86.94,5.45
1999,1,1,1.53,-20.49,2.12,85.12,5.8
1999,1,2,1.34,-14.38,2.49,95.06,4.99
1999,1,3,1.72,-19.55,0.91,89.12,9.29
1999,1,4,1.97,-24.74,0.06,89.81,4.87
1999,1,5,1.72,-18.13,0.24,91.88,3.95
1999,1,6,1.87,-23.63,0.08,87.0,8.02
1999,1,7,1.66,-23.73,0.02,93.38,4.73
1999,1,8,1.86,-21.81,0.16,92.0,4.72
1999,1,9,1.54,-24.23,1.25,92.75,4.43
1999,1,10,2.02,-24.62,0.19,88.12,6.94
1999,1,11,1.57,-21.33,2.34,92.12,3.6
1999,1,12,1.92,-24.16,1.04,92.19,4.12
1999,1,13,1.54,-21.43,2.43,95.5,6.88
1999,1,14,2.07,-15.13,0.49,96.88,6.67
1999,1,15,1.44,-9.24,0.37,98.19,8.04
1999,1,16,2.08,-4.31,0.04,95.69,7.27
1999,1,17,0.79,-3.02,7.68,96.31,5.67
1999,1,18,1.47,-13.7,0.36,95.88,8.63
1999,1,19,1.59,-14.31,0.11,90.44,2.43
1999,1,20,1.85,-12.99,0.25,98.62,3.65
1999,1,21,1.26,-7.77,2.24,98.88,5.8
1999,1,22,1.5,-6.08,0.6,97.31,2.91
1999,1,23,1.21,-9.61,0.25,97.88,4.11
1999,1,24,1.59,-14.16,0.14,96.75,5.48
1999,1,25,2.11,-14.82,0.03,97.69,5.86
1999,1,26,1.9,-10.38,2.37,98.56,4.3
1999,1,27,1.74,-8.44,2.92,96.06,6.1
1999,1,28,1.8,-11.73,0.14,98.0,3.39
1999,1,29,2.57,-8.58,0.02,97.19,5.03
1999,1,30,2.52,-8.11,0.02,97.62,6.06
1999,1,31,2.15,-7.99,0.03,95.38,5.71
1999,2,1,1.32,-3.92,1.62,97.88,6.34
1999,2,2,2.46,-5.81,0.36,96.31,6.16
1999,2,3,1.93,-6.45,1.59,93.44,6.75
1999,2,4,2.22,-18.99,0.02,95.5,6.15
1999,2,5,2.5,-9.32,0.04,96.12,5.47
1999,2,6,2.29,-13.49,0.0,94.31,4.38
1999,2,7,2.22,-5.61,0.0,92.81,7.48
1999,2,8,2.51,-0.45,0.23,93.81,8.73
1999,2,9,2.82,-6.89,0.03,92.44,5.81
1999,2,10,2.28,-1.07,0.81,95.12,9.02
1999,2,11,2.21,-10.17,0.61,90.88,12.42
1999,2,12,2.05,-15.24,0.26,91.12,12.1
1999,2,13,2.31,-10.56,0.0,78.56,5.91
1999,2,14,3.04,-3.93,0.03,95.06,4.33
1999,2,15,2.53,-4.19,2.73,93.69,7.63
1999,2,16,2.69,-10.81,0.65,91.75,4.61
1999,2,17,3.05,-13.88,0.13,94.0,1.82
1999,2,18,3.02,-12.52,0.04,91.69,3.27
1999,2,19,3.02,-11.72,0.02,92.75,4.77
1999,2,20,3.59,-9.3,0.02,91.0,3.48
1999,2,21,3.41,-8.97,0.01,87.12,2.95
1999,2,22,2.35,-5.89,0.07,76.94,6.28
1999,2,23,2.28,-4.6,0.94,83.44,6.43
1999,2,24,2.83,-3.5,0.05,90.56,7.27
1999,2,25,3.91,-2.42,0.04,87.31,4.52
1999,2,26,3.96,1.59,0.23,87.44,9.55
1999,2,27,1.86,0.08,1.09,89.56,9.3
1999,2,28,2.44,-1.99,0.11,79.62,6.62
1999,3,1,3.78,0.98,0.62,84.56,3.98
1999,3,2,3.87,-4.99,0.1,73.38,10.58
1999,3,3,4.33,-8.29,0.02,78.38,3.71
1999,3,4,2.33,-6.05,1.16,82.62,5.31
1999,3,5,3.57,-7.6,0.13,84.44,6.46
1999,3,6,4.3,-8.13,0.18,73.31,2.32
1999,3,7,4.49,-5.58,0.96,72.88,6.2
1999,3,8,2.3,-4.76,8.32,89.5,8.63
1999,3,9,2.76,-4.1,1.6,90.06,4.78
1999,3,10,4.2,-4.24,0.33,87.5,3.59
1999,3,11,4.5,-4.42,0.0,77.5,2.02
1999,3,12,4.01,-4.38,0.01,81.44,2.49
1999,3,13,3.42,-2.24,0.04,78.38,2.48
1999,3,14,3.92,-0.84,0.0,76.44,4.39
1999,3,15,5.01,2.62,0.0,76.75,5.89
1999,3,16,4.81,3.61,0.0,74.25,3.86
1999,3,17,2.09,-0.85,1.71,83.31,11.82
1999,3,18,5.13,-1.95,0.0,75.38,5.89
1999,3,19,5.23,1.66,0.0,67.0,5.3
1999,3,20,2.65,0.87,0.01,73.94,9.3
1999,3,21,5.46,-0.77,0.0,69.62,4.89
1999,3,22,5.34,0.93,0.0,65.38,2.79
1999,3,23,5.53,-0.69,0.0,65.75,7.1
1999,3,24,5.81,-2.24,0.0,66.81,5.42
1999,3,25,5.75,-0.29,0.0,58.38,2.84
1999,3,26,5.62,3.82,0.0,54.75,9.2
1999,3,27,1.58,3.55,17.14,79.5,8.1
1999,3,28,2.63,3.24,8.55,82.88,7.88
1999,3,29,5.24,3.84,0.01,64.5,5.51
1999,3,30,4.5,7.4,0.12,70.12,6.38
1999,3,31,5.12,8.36,0.83,87.81,3.86
1999,4,1,1.44,1.51,6.05,93.5,8.81
1999,4,2,2.3,1.31,3.16,91.38,4.27
1999,4,3,2.75,0.81,6.89,88.88,8.86
1999,4,4,5.63,1.56,12.25,77.31,4.16
1999,4,5,3.91,1.7,5.06,88.12,6.11
1999,4,6,5.26,4.08,2.49,81.38,6.14
1999,4,7,6.27,7.68,2.92,70.06,5.58
1999,4,8,5.58,8.51,0.0,59.44,4.75
1999,4,9,6.14,4.95,0.0,62.06,6.85
1999,4,10,3.39,3.5,1.06,67.0,8.56
1999,4,11,3.44,2.62,0.44,81.12,3.44
1999,4,12,6.48,6.94,0.0,68.56,2.33
1999,4,13,6.26,9.48,2.1,71.5,5.23
1999,4,14,4.07,6.6,1.46,71.81,6.3
1999,4,15,2.71,2.12,1.43,77.56,7.09
1999,4,16,2.48,0.39,1.92,83.75,9.27
1999,4,17,2.7,0.81,0.83,81.44,5.24
1999,4,18,4.61,4.01,1.01,68.88,3.03
1999,4,19,3.92,5.13,0.45,74.12,3.8
1999,4,20,2.38,4.22,3.77,86.06,3.82
1999,4,21,6.07,6.98,0.03,75.44,5.07
1999,4,22,6.41,5.43,0.0,66.62,6.34
1999,4,23,7.36,6.0,0.0,63.62,3.34
1999,4,24,7.41,7.96,0.04,56.75,3.12
